air air steam
air earth dust
air dust x
air fire energy
air energy storm
air steam cloud
air cloud sky
air sky x
air storm x
air water x
cloud cloud sky
cloud dust x
cloud earth x
cloud energy x
cloud fire x
cloud sky x
cloud steam x
cloud storm x
cloud water x
dust dust ash,ash
air ash x
ash ash dust,dust
ash cloud x
ash dust x
ash earth x
ash energy x
ash fire x
ash sky x
ash steam x
ash storm x
ash water x
dust earth x
dust energy x
dust fire gunpowder
air gunpowder x
ash gunpowder x
cloud gunpowder x
dust gunpowder x
dust sky x
dust steam x
dust storm sand_storm*
dust water mud
air mud x
ash mud x
cloud mud x
dust mud mud
earth earth pressure
air pressure x
ash pressure x
cloud pressure x
dust pressure x
earth energy x
earth fire lava
air lava stone
air stone sand
air sand x
ash lava volcano
air volcano x
ash sand x
ash stone x
ash volcano x
cloud lava x
cloud sand x
cloud stone x
cloud volcano x
dust lava x
dust sand x
dust stone x
dust volcano x
earth gunpowder x
earth lava x
earth mud x
earth pressure x
earth sand x
earth sky x
earth steam geyser
air geyser x
ash geyser x
cloud geyser x
dust geyser x
earth geyser x
earth stone x
earth storm x
earth volcano x
earth water swamp
air swamp x
ash swamp x
cloud swamp x
dust swamp x
earth swamp x
energy energy x
energy fire x
energy geyser x
energy gunpowder x
energy lava x
energy mud x
energy pressure x
energy sand x
energy sky x
energy steam x
energy stone x
energy storm x
energy swamp life
air life x
ash life ghost
air ghost x
ash ghost x
cloud ghost x
cloud life x
dust ghost x
dust life mite*
earth ghost x
earth life x
energy ghost ectoplasm
air ectoplasm x
ash ectoplasm x
cloud ectoplasm x
dust ectoplasm x
earth ectoplasm x
ectoplasm ectoplasm x
ectoplasm energy x
ectoplasm fire x
ectoplasm geyser x
ectoplasm ghost x
ectoplasm gunpowder x
ectoplasm lava x
ectoplasm life x
ectoplasm mud x
ectoplasm pressure x
ectoplasm sand x
ectoplasm sky x
ectoplasm steam x
ectoplasm stone x
ectoplasm storm x
ectoplasm swamp x
ectoplasm volcano x
ectoplasm water x
energy life x
energy volcano x
energy water x
fire fire x
fire geyser x
fire ghost x
fire gunpowder explosion*,smoke
air smoke x
ash smoke x
cloud smoke x
dust smoke x
earth smoke x
ectoplasm smoke x
energy smoke x
